state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
Nebraska,41000,55,902000,902000,151,3405000,2010
NewJersey,13000,35,73000,73000,190,865000,2010
NewMexico,7000,66,157000,157000,158,730000,2010
NewYork,45000,64,1123000,1123000,196,5645000,2010
NorthCarolina,13000,46,144000,144000,266,1591000,2010
NorthDakota,510000,91,12995000,12995000,150,69615000,2010
Ohio,18000,62,346000,346000,228,2544000,2010
Oregon,59000,39,874000,874000,163,3751000,2010
Pennsylvania,30000,37,377000,377000,213,2364000,2010
SouthDakota,265000,58,4765000,4765000,151,23209000,2010
Tennessee,8000,63,106000,106000,250,1260000,2010
Texas,100000,72,792000,792000,151,10872000,2010
Utah,26000,30,195000,195000,153,1193000,2010
Vermont,4000,65,73000,73000,310,806000,2010
Virginia,5000,37,37000,37000,332,614000,2010
Washington,71000,37,1077000,1077000,157,4124000,2010
WestVirginia,5000,40,40000,40000,239,478000,2010
Wisconsin,64000,64,1556000,1556000,168,6881000,2010
Wyoming,34000,36,282000,282000,159,1946000,2010
Alabama,9000,50,63000,63000,251,1130000,2011
Arizona,23000,53,427000,427000,155,1889000,2011
Arkansas,22000,64,239000,239000,162,2281000,2011
California,370000,48,3730000,3730000,165,29304000,2011
Colorado,31000,55,443000,443000,200,3410000,2011
Florida,180000,61,988000,988000,168,18446000,2011
Georgia,65000,43,196000,196000,165,4612000,2011
Hawaii,9000,74,246000,246000,365,2431000,2011
Idaho,87000,36,1879000,1879000,178,5575000,2011
Illinois,7000,50,98000,98000,390,1365000,2011
Indiana,8000,51,147000,147000,214,873000,2011
Iowa,25000,62,961000,961000,196,3038000,2011
Kansas,7000,44,117000,117000,215,662000,2011
Kentucky,4000,39,12000,12000,317,495000,2011
Louisiana,36000,77,471000,471000,167,4629000,2011
Maine,4000,30,17000,17000,198,238000,2011
Michigan,74000,64,2084000,2084000,181,8572000,2011
Minnesota,120000,53,2099000,2099000,163,10367000,2011
Mississippi,18000,115,104000,104000,153,3167000,2011
Missouri,8000,43,76000,76000,214,736000,2011
Montana,145000,92,3202000,3202000,170,22678000,2011
Nebraska,41000,59,653000,653000,175,4233000,2011
NewJersey,11000,41,135000,135000,370,1669000,2011
NewMexico,7000,56,153000,153000,169,662000,2011
NewYork,49000,56,1235000,1235000,196,5378000,2011
NorthCarolina,14000,62,95000,95000,283,2456000,2011
NorthDakota,460000,71,7512000,7512000,167,54542000,2011
Ohio,15000,66,228000,228000,234,2317000,2011
Oregon,60000,34,755000,755000,168,3427000,2011
Pennsylvania,24000,44,306000,306000,255,2693000,2011
SouthDakota,250000,66,4290000,4290000,170,28050000,2011
Tennessee,7000,44,68000,68000,293,902000,2011
Texas,78000,58,633000,633000,178,8053000,2011
Utah,23000,39,170000,170000,175,1570000,2011
Vermont,4000,43,43000,43000,231,397000,2011
Virginia,4000,40,21000,21000,407,651000,2011
Washington,71000,38,836000,836000,193,5207000,2011
WestVirginia,4000,53,45000,45000,257,545000,2011
